tau,m,Dg,LLE,H,S
5.000000,12.000000,1.649329,0.663414,0.725682,0.903219
4.000000,11.000000,1.924794,0.755127,0.689687,1.000643
1.000000,6.000000,1.669551,0.146087,0.737830,0.911594
5.000000,8.000000,2.561362,0.598837,0.652806,1.363383
3.000000,11.000000,2.779425,0.926265,0.739347,1.092248
5.000000,13.000000,1.933718,0.624573,0.814928,0.938329
2.000000,5.000000,2.641134,0.119234,0.722539,1.044477
1.000000,5.000000,1.542583,0.087661,0.743683,1.015960
1.000000,5.000000,1.462710,0.102204,0.740500,0.993396
2.000000,6.000000,2.145031,0.429495,0.817087,0.838874
5.000000,14.000000,1.489216,0.315107,0.742601,1.007651
6.000000,13.000000,1.438604,0.295980,0.689236,0.927402
3.000000,13.000000,2.229377,1.097515,0.668241,0.907731
3.000000,12.000000,2.734132,0.811106,0.783694,0.807097
5.000000,13.000000,2.420522,0.985369,0.735575,1.087888
1.000000,6.000000,1.443748,0.230953,0.765126,0.982423
1.000000,5.000000,1.381193,0.116337,0.724133,1.077733
3.000000,12.000000,3.001496,0.923593,0.711709,0.997866
11.000000,13.000000,0.364305,0.311270,0.690697,0.881711
1.000000,5.000000,1.661223,0.040153,0.678525,1.183265
2.000000,6.000000,2.439317,0.264254,0.769077,1.081509
4.000000,14.000000,1.783113,1.181744,0.717198,0.997565
6.000000,13.000000,1.702788,0.720820,0.788480,1.165781
4.000000,5.000000,2.589935,0.149491,0.665491,1.589047
4.000000,16.000000,1.846062,0.509200,0.781191,0.908391
3.000000,13.000000,3.053620,0.906848,0.772388,1.186643
1.000000,5.000000,2.055653,0.080143,0.692018,1.218660
2.000000,6.000000,2.568342,0.176169,0.720272,0.972020
3.000000,6.000000,3.015594,0.275609,0.642280,1.466287
4.000000,5.000000,2.876216,0.277040,0.697689,1.642467
1.000000,5.000000,1.314467,-0.025022,0.693041,1.009192
2.000000,5.000000,2.603787,0.037263,0.725048,1.183935
1.000000,5.000000,1.864101,0.049991,0.689633,1.418599
2.000000,6.000000,2.899737,0.085332,0.707614,1.364926
1.000000,6.000000,1.421759,0.421330,0.783182,0.771428
1.000000,5.000000,1.463128,0.113401,0.775862,1.038794
1.000000,6.000000,1.865042,0.109708,0.713416,0.944938
2.000000,4.000000,2.590688,0.004262,0.648250,1.355621
3.000000,16.000000,2.588090,0.904521,0.786299,0.804890
1.000000,5.000000,1.834746,0.029960,0.715769,1.418133
7.000000,17.000000,1.241689,0.070371,0.765633,0.956414
1.000000,5.000000,1.995644,0.005213,0.669494,1.338181
5.000000,11.000000,1.581517,0.695504,0.665514,1.181942
13.000000,14.000000,1.073811,0.194925,0.672816,1.095914
3.000000,13.000000,2.745788,0.874902,0.717287,1.022249
5.000000,13.000000,1.911188,0.708493,0.713859,1.147684
1.000000,7.000000,1.716252,0.077846,0.749237,1.025815
3.000000,12.000000,2.476067,0.776111,0.752021,0.959990
2.000000,5.000000,2.706386,0.041567,0.673204,1.127191
2.000000,5.000000,2.182460,0.252658,0.750913,0.941658
2.000000,5.000000,2.446486,0.155591,0.794245,1.284912
3.000000,4.000000,2.768845,0.134593,0.670497,1.202466
2.000000,5.000000,2.530702,0.093785,0.758983,0.918622
2.000000,5.000000,2.140330,0.336853,0.768748,0.887702
4.000000,11.000000,2.169952,0.735126,0.701087,1.052257
4.000000,11.000000,2.459232,0.841430,0.728253,1.041981
5.000000,14.000000,2.029509,0.477484,0.807238,0.856229
3.000000,10.000000,3.149511,0.636348,0.719505,1.425580
5.000000,11.000000,1.725088,0.599248,0.713226,0.841385
3.000000,13.000000,2.432561,0.865097,0.697645,0.924277
4.000000,12.000000,1.297303,0.911033,0.665739,1.161785
2.000000,5.000000,1.570264,0.154189,0.712216,0.881230
6.000000,12.000000,0.864888,0.481740,0.644003,1.005960
3.000000,11.000000,3.001794,0.831577,0.731308,1.218956
1.000000,6.000000,2.088100,0.120496,0.694658,1.183965
3.000000,13.000000,2.125563,0.817297,0.702142,1.129370
5.000000,13.000000,1.279453,0.577143,0.689311,0.940836
8.000000,13.000000,0.860005,0.353040,0.740820,1.050520
1.000000,5.000000,1.604279,0.109021,0.765239,0.952201
1.000000,5.000000,1.439558,0.085500,0.698739,0.983754
4.000000,12.000000,2.222845,0.875806,0.766660,0.906554
3.000000,11.000000,2.887220,0.743416,0.724048,1.037029
1.000000,5.000000,1.623290,0.042318,0.734609,1.027754
4.000000,12.000000,2.112061,0.692485,0.728603,0.984745
1.000000,5.000000,1.565857,0.183960,0.762736,0.931646
5.000000,11.000000,2.266507,0.761020,0.753333,0.987876
3.000000,12.000000,2.497784,0.809691,0.764482,0.930523
4.000000,6.000000,2.762983,0.417018,0.675220,1.189717
2.000000,4.000000,2.205603,0.080034,0.720886,1.086070
1.000000,5.000000,1.873052,0.031330,0.692038,1.126127
4.000000,13.000000,1.546364,0.600603,0.766022,1.026426
1.000000,5.000000,1.563608,0.023797,0.708638,1.178931
4.000000,13.000000,1.262796,0.758948,0.716134,1.051377
1.000000,5.000000,1.582560,0.151001,0.764767,0.991195
3.000000,10.000000,2.767287,0.675364,0.707271,1.128388
2.000000,5.000000,2.457285,0.080253,0.683511,1.010666
1.000000,6.000000,1.957437,0.007788,0.767461,1.198170
1.000000,6.000000,1.835137,0.136313,0.771183,1.085874
1.000000,5.000000,1.481641,0.059499,0.734596,0.915079
4.000000,11.000000,1.914865,0.755633,0.697301,1.146340
5.000000,13.000000,1.678341,0.629676,0.727140,1.122375
1.000000,6.000000,1.804397,0.085148,0.714686,0.913174
5.000000,10.000000,1.998576,0.726791,0.652458,1.091780
3.000000,13.000000,2.929184,0.904219,0.725138,0.898132
3.000000,12.000000,2.501945,0.799881,0.687223,0.929948
1.000000,4.000000,1.049587,0.025864,0.687094,0.971029
2.000000,5.000000,2.359118,0.114635,0.687009,0.974375
4.000000,13.000000,2.386107,0.785378,0.726298,0.987830
2.000000,5.000000,2.753614,0.041320,0.645974,1.000365
1.000000,6.000000,1.797333,0.041481,0.711465,1.099053
